community,Hexon protein,Hexon-interlacing protein,Penton protein,Pre-hexon-linking protein IIIa,Pre-hexon-linking protein VIII,Pre-histone-like nucleoprotein,Pre-protein VI
0,440,0,4,0,2,0,23
1,578,0,0,0,15,0,5
2,284,0,0,157,116,0,0
3,298,51,0,0,0,0,0
4,492,0,0,0,0,0,0
5,515,0,0,0,0,0,0
6,495,0,0,0,0,0,0
7,276,0,0,0,0,0,0
8,0,0,15,131,0,0,0
9,293,0,0,0,9,0,45
10,550,43,0,0,2,0,5
11,503,0,0,0,0,11,41
12,526,0,0,0,0,0,0
13,307,0,0,0,0,0,0
14,293,0,0,0,0,0,0
15,283,0,0,0,2,0,0
16,655,46,0,0,0,0,0
17,0,0,436,0,0,0,0
18,407,21,0,0,87,0,0
19,0,0,0,0,47,0,0
20,478,2,0,0,0,0,0
21,575,48,0,0,0,0,0
22,304,0,0,0,0,0,0
23,294,0,0,0,0,0,0
24,0,124,0,0,0,0,0
25,324,0,0,0,0,0,0
26,516,0,0,0,0,0,0
27,540,0,0,0,0,0,0
28,442,51,0,0,80,0,0
29,257,0,0,0,0,0,0
